,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
25933,'090821B0100',090821B010034581,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,821,1,B,0,Urbana,2,16,15,12,5,7,6,152,10,2,5,0,0,0,0,0,0,0,0,0,0,11,241,625,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:15
25934,'090821C0100',090821C010030606,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,821,1,C,0,Urbana,2,8,20,15,3,8,6,173,7,2,4,0,2,0,0,0,0,0,0,0,0,11,259,625,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:48
25935,'090821C0200',090821C020028951,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,821,2,C,0,Urbana,2,6,15,11,8,3,4,152,12,4,4,0,1,0,0,1,0,0,0,0,2,6,229,624,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:40
25936,'090821C0300',090821C030030607,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,821,3,C,0,Urbana,2,11,6,16,7,3,3,144,13,4,5,0,1,0,0,0,0,0,0,0,2,11,226,624,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:44
25937,'090822B0100',090822B010034582,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,822,1,B,0,Urbana,2,7,12,24,7,9,7,168,18,6,9,0,0,0,0,0,0,0,0,0,3,8,278,746,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:33
25938,'090822C0100',090822C010028952,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,822,1,C,0,Urbana,2,8,13,24,18,5,5,177,14,5,9,0,1,2,0,0,0,0,0,0,1,7,289,746,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:56
25939,'090822C0200',090822C020028953,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,822,2,C,0,Urbana,2,13,15,36,8,14,6,153,23,6,6,0,1,0,0,0,0,0,0,0,1,11,293,746,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:28
25940,'090823B0100',090823B010034583,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,823,1,B,0,Urbana,2,8,9,13,6,2,6,168,24,2,6,0,0,0,0,0,0,0,0,0,0,11,255,702,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:49
25941,'090823C0100',090823C010030608,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,823,1,C,0,Urbana,2,13,18,21,4,2,7,214,23,6,3,0,0,0,0,0,0,0,0,0,0,13,324,702,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:48
25942,'090823C0200',090823C020031007,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,823,2,C,0,Urbana,2,11,13,15,6,5,5,212,13,5,6,0,0,0,0,0,0,0,0,0,0,12,303,701,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:08
25943,'090824B0100',090824B010034584,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,824,1,B,0,Urbana,2,13,10,10,4,5,3,148,16,5,9,0,0,0,0,1,0,0,0,0,0,9,233,629,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:09
25944,'090824C0100',090824C010030609,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,824,1,C,0,Urbana,2,2,13,9,6,5,138,11,5,4,3,0,0,0,0,0,0,0,0,0,0,11,207,629,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:28
25945,'090824C0200',090824C020028954,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,824,2,C,0,Urbana,2,12,11,13,3,6,2,154,21,5,5,0,1,0,0,0,0,0,0,0,0,11,244,629,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:54
25946,'090824C0300',090824C030030610,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,824,3,C,0,Urbana,2,14,16,9,9,6,5,128,16,0,7,0,0,1,0,0,0,0,0,0,0,10,221,629,Recuento (Para recuento (SRA)),I,09/06/2021 11:06:50
25947,'090825B0100',090825B010034585,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,825,1,B,0,Urbana,2,9,9,40,4,3,5,130,8,2,6,0,0,0,0,0,0,0,0,0,1,7,224,512,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:15
25948,'090825C0100',090825C010028955,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,825,1,C,0,Urbana,2,14,13,46,4,2,3,113,12,2,3,0,0,0,0,0,0,0,0,0,0,7,219,511,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:10
25949,'090825C0200',090825C020028956,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,825,2,C,0,Urbana,2,7,18,36,8,1,3,108,12,3,8,0,0,0,1,0,0,0,0,0,1,11,217,511,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:09
25950,'090826B0100',090826B010034586,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,826,1,B,0,Urbana,2,8,22,10,8,4,4,119,4,0,1,0,0,0,0,0,0,0,0,0,0,8,188,503,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:14
25951,'090826C0100',090826C010028957,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,826,1,C,0,Urbana,2,8,12,14,5,8,2,116,7,4,2,0,0,0,1,0,0,0,0,0,0,8,187,503,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:46
25952,'090826C0200',090826C020028958,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,826,2,C,0,Urbana,2,15,24,8,4,3,7,114,8,2,6,0,0,0,1,0,0,0,0,0,0,9,201,502,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:10
25953,'090827B0100',090827B010034587,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,827,1,B,0,Urbana,2,20,13,28,8,8,5,169,9,11,3,0,0,0,0,0,0,0,0,0,0,11,285,733,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:39
25954,'090827C0100',090827C010028959,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,827,1,C,0,Urbana,2,14,15,21,12,11,5,162,17,8,13,0,2,0,0,1,0,0,0,0,0,10,291,733,Recuento (Para recuento (SRA)),I,09/06/2021 23:06:36
25955,'090827C0200',090827C020028960,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,827,2,C,0,Urbana,2,10,15,22,9,3,4,183,7,5,5,0,0,0,0,0,0,0,0,0,0,12,275,733,Recuento (Para recuento (SRA)),I,09/06/2021 12:06:31
25956,'090827C0400',090827C040028962,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,827,4,C,0,Urbana,2,22,22,25,8,4,5,186,11,2,2,0,1,1,0,0,0,0,0,0,1,12,302,733,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:02
25957,'090827C0300',090827C030028961,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,827,3,C,0,Urbana,2,19,20,28,8,7,4,168,13,6,8,0,1,0,0,0,0,0,0,0,0,12,294,733,Recuento (Para recuento (SRA)),I,09/06/2021 23:06:13
25958,'090828B0100',090828B010034588,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,828,1,B,0,Urbana,2,12,14,19,3,7,9,145,9,3,3,0,1,2,0,0,0,0,0,0,0,8,235,556,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:04
25959,'090828C0100',090828C010040209,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,828,1,C,0,Urbana,2,13,13,29,5,3,7,123,8,2,4,0,1,1,0,1,0,0,0,0,0,8,218,556,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:50
25960,'090828C0200',090828C020031604,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,828,2,C,0,Urbana,2,7,9,28,4,7,6,157,7,3,4,0,0,0,0,0,0,0,0,0,1,12,245,556,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:34
25961,'090829B0100',090829B010034589,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,829,1,B,0,Urbana,2,22,27,26,7,7,4,194,19,2,12,0,1,1,0,0,0,0,0,0,0,13,335,741,Recuento (Para recuento (SRA)),I,10/06/2021 00:06:04
25962,'090829C0100',090829C010028963,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,829,1,C,0,Urbana,2,14,21,34,4,6,8,185,18,2,8,0,2,0,0,0,0,0,0,0,1,12,315,741,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:56
25963,'090830B0100',090830B010034590,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,830,1,B,0,Urbana,2,14,16,27,9,4,7,139,16,2,7,0,1,0,0,0,0,0,0,0,0,7,249,608,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:59
25964,'090830C0100',090830C010028964,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,830,1,C,0,Urbana,2,15,18,38,3,5,2,149,13,0,3,0,0,0,0,0,0,0,0,0,0,17,263,607,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:56
25965,'090830C0200',090830C020028965,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,830,2,C,0,Urbana,2,10,11,21,2,5,2,147,15,1,5,0,1,0,0,1,0,0,0,0,0,11,232,607,Cotejo (Levantada en Casilla),I,09/06/2021 10:06:25
25966,'090831B0100',090831B010034591,9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,831,1,B,0,Urbana,2,10,13,26,3,2,5,180,17,2,2,0,0,0,0,0,0,0,0,0,1,13,274,657,Recuento (Para recuento (SRA)),I,09/06/2021 13:06:53
